,x,x,x,x,x,x,x,x,x,x,y,y,y,a,a,a,a,a,z,z,z,z,z,u,u,u,u
28,9,63,25,0,0,0,0,10,1,20,1,1,1,,,,,,625,1,10,0,1,0,0,0,0
29,6,42,46,1,1,0,0,0,4,22,4,1,1,,,,4,,2116,1,0,0,0,0,1,1,0
30,9,39,49,1,1,1,1,12,3,27,3,1,1,1,61,21,3,15,2401,1,12,1,0,0,0,0,1
31,5,45,43,0,0,0,1,6,7,20,6,1,1,,,,,,1849,1,6,0,1,0,1,0,0
32,11,48,39,0,0,0,0,5,4,19,4,1,1,,,,4,,1521,1,5,0,1,0,0,0,0
33,11,48,39,0,0,0,0,5,4,19,4,1,1,,,,4,,1521,1,5,0,1,0,0,0,0
34,8,63,25,0,0,0,0,5,4,18,4,1,1,2,85,21,4,14,625,1,5,0,0,0,0,0,1
35,6,66,22,0,0,0,0,7,2,18,2,1,1,,,,4,,484,1,7,1,0,0,1,0,0
36,5,53,35,0,1,0,0,6,3,21,2,1,1,,,,2,,1225,1,6,0,1,0,1,0,0
37,1,48,40,1,1,1,1,12,2,26,2,1,1,3,73,25,2,15,1600,1,12,0,0,1,1,0,1
38,9,48,40,1,1,0,1,7,5,19,5,1,1,8,66,17,5,0,1600,1,7,1,0,0,0,0,1
39,3,59,29,0,0,0,0,0,2,17,1,1,1,,,,6,,841,1,0,0,1,0,1,1,0
40,7,55,33,1,1,0,0,12,1,26,1,1,1,4,78,22,4,12,1089,1,12,0,0,0,0,0,1
41,3,62,26,0,0,0,0,3,2,18,2,1,1,,,,2,,676,1,3,0,1,0,1,0,0
42,4,47,41,1,1,1,0,12,2,23,2,1,1,4,70,23,2,13,1681,1,12,0,1,0,1,0,1
43,3,67,21,1,1,0,0,7,1,17,1,1,1,,,,4,,441,1,7,0,1,0,1,0,0
44,3,69,19,1,1,0,0,10,0,,0,1,0,,,,4,,361,1,10,0,1,0,1,0,0
45,5,60,28,1,0,0,0,0,1,21,1,1,1,,,,4,,784,1,0,1,0,0,1,1,0
46,3,63,25,1,1,1,0,12,1,18,1,1,1,8,88,25,2,14,625,1,12,0,0,1,1,0,1
47,11,39,48,1,1,1,1,12,3,32,2,1,0,1,70,30,4,15,2304,1,12,0,0,1,0,0,1
48,11,56,32,1,1,1,1,14,3,22,3,1,1,12,78,22,3,14,1024,1,14,0,0,1,0,0,1
49,12,60,27,1,1,1,1,10,3,21,3,0,0,11,78,17,3,7,729,1,10,0,1,0,0,0,1
50,7,51,37,0,1,0,0,5,2,19,2,1,1,,,,6,,1369,1,5,1,0,0,0,0,0
51,10,64,24,0,0,0,0,10,0,,0,0,0,,,,2,,576,1,10,0,0,1,0,0,0
52,4,48,40,1,1,1,1,12,2,21,1,1,1,12,67,19,3,12,1600,1,12,0,0,1,1,0,1
53,5,39,49,1,1,1,0,17,5,18,5,1,1,1,57,17,5,10,2401,1,17,1,0,0,1,0,1
54,1,50,38,1,1,1,1,14,2,26,2,1,0,4,75,25,3,17,1444,1,14,0,0,0,1,0,1
55,7,56,32,1,1,1,1,13,2,20,2,1,1,8,75,19,6,,1024,1,13,0,0,0,0,0,1
56,6,66,22,1,1,1,1,7,0,,0,1,0,,,,4,,484,1,7,1,0,0,1,0,0
57,5,64,24,1,1,1,1,4,2,20,2,1,0,,,,4,,576,1,4,1,0,0,1,0,0
58,11,47,41,1,1,1,1,17,2,26,2,1,1,6,72,24,2,17,1681,1,17,0,0,0,0,0,1
59,7,58,30,0,1,0,0,7,1,17,0,1,1,9,76,18,3,8,900,1,7,0,0,1,0,0,1
60,8,42,46,1,1,0,0,5,5,21,5,1,1,,,,6,,2116,1,5,0,1,0,0,0,0
61,6,52,36,1,1,1,1,12,5,20,5,1,1,9,72,20,3,12,1296,1,12,0,1,0,1,0,1
62,12,42,45,1,1,1,1,3,0,,0,1,1,11,62,19,2,,2025,1,3,0,1,0,0,0,1
63,3,46,42,1,1,1,1,10,3,20,3,1,1,4,85,39,4,12,1764,1,10,0,1,0,1,0,1
64,2,72,16,1,1,1,1,8,1,16,1,1,0,,,,4,,256,1,8,1,0,0,1,0,0
65,7,44,44,1,1,1,0,10,4,26,4,1,0,2,70,25,4,12,1936,1,10,0,0,1,0,0,1
66,12,70,17,1,1,1,0,11,0,,0,1,0,,,,2,,289,1,11,0,0,1,0,0,0
67,10,73,15,1,1,1,0,8,0,,0,1,0,,,,0,,225,1,8,0,0,1,0,0,0
68,2,66,22,1,1,1,0,7,0,,0,1,1,,,,3,,484,1,7,0,1,0,1,0,0
69,7,59,29,1,1,0,1,7,3,17,2,1,1,,,,4,,841,1,7,0,1,0,0,0,0
70,10,64,24,1,1,1,1,16,1,20,1,1,1,,,,3,,576,1,16,0,1,0,0,0,0
71,11,52,36,1,1,0,0,2,1,25,0,1,0,4,88,35,4,0,1296,1,2,0,1,0,0,0,1
72,10,47,41,1,1,1,1,19,3,31,3,1,1,12,74,27,3,16,1681,1,19,0,1,0,0,0,1
73,10,39,49,1,0,0,0,6,2,22,2,0,0,11,61,22,2,4,2401,1,6,0,1,0,0,0,1
74,8,47,41,1,0,0,0,0,2,20,2,1,0,,,,2,,1681,1,0,0,0,1,0,1,0
75,4,41,47,1,1,0,1,15,2,30,2,1,1,8,62,21,2,15,2209,1,15,0,0,0,1,0,1
76,9,48,40,1,1,1,1,13,2,13,2,1,1,8,69,20,2,12,1600,1,13,0,0,1,0,0,1
77,1,49,39,1,1,1,0,15,4,22,3,1,1,12,71,22,4,13,1521,1,15,0,1,0,1,0,1
78,7,66,22,0,0,0,0,0,2,12,1,1,0,6,87,20,5,6,484,1,0,1,0,0,0,1,1
79,12,70,17,1,1,1,0,7,0,,0,1,1,,,,4,,289,1,7,0,0,0,0,0,0
80,7,58,30,1,1,1,1,16,2,17,2,1,1,2,83,24,2,15,900,1,16,1,0,0,0,0,1
81,7,52,36,1,1,1,1,14,2,23,2,1,1,10,74,22,4,10,1296,1,14,0,1,0,0,0,1
82,2,61,27,1,1,1,0,10,4,17,3,1,1,2,80,19,4,10,729,1,10,0,0,0,1,0,1
83,6,52,36,1,1,1,0,7,4,18,4,1,1,,,,6,,1296,1,7,0,1,0,1,0,0
84,5,71,17,1,1,1,0,8,0,,0,1,0,,,,2,,289,1,8,0,1,0,1,0,0
85,12,58,29,1,1,1,0,6,1,27,1,1,1,8,74,15,2,15,841,1,6,0,1,0,0,0,1
86,8,52,36,1,1,0,0,2,2,22,2,1,1,,,,3,,1296,1,2,0,0,0,0,0,0
87,9,42,46,1,1,1,1,10,5,22,5,1,1,12,66,24,4,10,2116,1,10,0,1,0,0,0,1
88,10,58,30,0,0,0,0,5,3,19,3,1,1,,,,3,,900,1,5,0,1,0,0,0,0
89,9,49,39,1,1,1,0,12,3,20,3,1,1,12,68,19,4,12,1521,1,12,0,0,0,0,0,1
90,12,54,33,1,1,1,0,17,2,25,2,1,1,5,78,23,2,17,1089,1,17,0,0,0,0,0,1
91,11,69,18,0,1,0,0,10,1,17,1,1,1,,,,4,,324,1,10,0,1,0,0,0,0
92,2,60,28,1,1,1,1,11,2,22,2,1,1,5,82,22,4,12,784,1,11,0,0,1,1,0,1
93,11,64,24,0,0,0,0,7,1,21,1,1,1,,,,4,,576,1,7,1,0,0,0,0,0
94,5,63,25,1,1,1,0,10,3,18,3,1,1,10,87,24,3,16,625,1,10,0,1,0,1,0,1
95,11,67,21,0,0,0,0,7,0,,0,1,1,,,,4,,441,1,7,0,1,0,0,0,0
96,12,71,16,0,0,0,0,7,0,,0,1,1,,,,4,,256,1,7,1,0,0,0,0,0
97,8,65,23,0,1,0,0,7,2,16,2,1,1,,,,4,,529,1,7,0,0,0,0,0,0
98,8,63,25,0,1,0,0,10,2,16,2,1,1,,,,3,,625,1,10,0,0,0,0,0,0
99,6,49,39,1,1,1,0,12,6,17,6,1,1,3,66,16,4,12,1521,1,12,0,0,0,1,0,1
100,7,51,37,1,1,1,1,20,2,30,2,1,1,10,79,28,2,20,1369,1,20,0,0,0,0,0,1
101,6,56,32,1,0,1,1,13,1,28,1,1,1,7,82,26,3,17,1024,1,13,0,0,1,1,0,1
102,7,41,47,1,0,0,0,4,5,22,5,1,1,4,62,20,2,0,2209,1,4,1,0,0,0,0,1
103,5,49,39,1,1,1,1,14,4,21,4,1,1,6,70,21,4,16,1521,1,14,0,1,0,1,0,1
104,12,60,28,1,1,1,0,12,0,,0,1,1,,,,2,,784,1,12,0,1,0,0,0,0
105,9,57,31,0,0,0,0,12,3,20,3,1,1,2,77,19,4,12,961,1,12,0,0,1,0,0,1
106,11,64,24,1,1,1,0,12,0,,0,1,1,,,,2,,576,1,12,0,1,0,0,0,0
107,8,48,40,1,1,1,0,5,7,19,5,1,1,9,66,18,4,0,1600,1,5,1,0,0,0,0,1
108,12,70,18,1,1,1,0,0,0,,0,1,0,11,88,17,,,324,1,0,0,0,0,0,1,1
109,5,57,31,1,1,1,0,12,3,20,3,1,1,2,86,28,3,17,961,1,12,0,0,1,1,0,1
110,12,50,38,1,1,1,0,7,1,22,1,1,1,12,80,30,4,10,1444,1,7,1,0,0,0,0,1
111,6,73,15,1,1,1,0,7,0,,0,1,0,,,,0,,225,1,7,1,0,0,1,0,0
112,6,60,28,1,1,1,0,12,1,21,1,1,1,,,,3,,784,1,12,0,0,1,1,0,0
113,9,45,43,1,1,1,0,10,4,18,3,1,1,8,71,25,4,7,1849,1,10,0,1,0,0,0,1
114,12,63,25,1,1,1,,7,1,16,1,1,1,,,,4,,625,1,7,0,0,1,0,0,0
115,5,67,21,1,1,1,0,10,1,17,1,1,1,,,,1,,441,1,10,0,1,0,1,0,0
116,6,47,41,1,1,1,1,18,3,27,3,1,1,1,73,25,4,17,1681,1,18,0,0,1,1,0,1
117,11,48,40,1,1,1,1,12,3,23,3,1,1,12,70,22,2,15,1600,1,12,0,0,0,0,0,1
118,9,63,25,0,1,0,0,6,3,19,3,1,1,1,87,23,5,7,625,1,6,0,0,0,0,0,1
119,9,53,35,1,1,1,0,12,2,20,2,1,1,6,71,17,2,15,1225,1,12,0,0,0,0,0,1
120,8,68,20,1,1,1,1,7,0,,0,1,1,,,,4,,400,1,7,0,1,0,0,0,0
121,4,59,29,1,1,1,1,0,1,25,1,1,1,,,,2,,841,1,0,0,0,0,1,1,0
122,10,64,24,1,1,0,0,12,2,18,2,1,1,7,88,23,4,14,576,1,12,0,0,0,0,0,1
123,6,70,18,1,1,0,0,8,0,,0,1,0,,,,,,324,1,8,0,0,0,1,0,0
124,6,67,21,1,1,0,0,12,0,,0,1,1,,,,4,,441,1,12,1,0,0,1,0,0
125,11,62,26,1,1,0,0,10,2,18,2,1,1,8,88,25,6,9,676,1,10,0,1,0,0,0,1
126,6,51,37,1,1,1,1,12,3,24,3,1,1,3,78,26,4,0,1369,1,12,0,1,0,1,0,1
127,11,61,27,1,1,0,0,12,2,22,2,1,1,,,,2,,729,1,12,1,0,0,0,0,0
128,7,62,26,1,1,0,0,12,2,21,2,1,1,5,86,23,4,10,676,1,12,0,1,0,0,0,1
129,7,54,34,1,1,1,0,15,1,22,1,1,1,,,,2,,1156,1,15,0,1,0,0,0,0
130,10,54,34,1,1,1,0,9,6,15,6,1,1,2,70,15,6,12,1156,1,9,0,0,1,0,0,1
131,11,51,37,1,1,1,0,12,3,22,3,1,1,9,73,21,3,10,1369,1,12,0,1,0,0,0,1
132,6,70,18,1,1,1,0,9,0,,0,1,1,,,,4,,324,1,9,1,0,0,1,0,0
133,3,53,35,1,1,1,0,12,3,24,3,1,1,4,82,29,3,10,1225,1,12,0,0,1,1,0,1
134,6,66,22,1,1,1,0,7,1,19,1,1,1,,,,3,,484,1,7,0,1,0,1,0,0
135,2,40,48,1,1,1,0,6,10,16,9,1,1,6,56,16,4,7,2304,1,6,1,0,0,1,0,1
136,6,59,29,1,1,1,0,12,4,19,4,1,1,7,87,28,4,15,841,1,12,1,0,0,1,0,1
137,3,65,23,1,1,1,0,5,1,18,1,1,1,,,,4,,529,1,5,0,1,0,1,0,0
138,4,59,29,1,1,1,1,12,2,26,2,1,1,4,84,25,3,13,841,1,12,0,1,0,1,0,1
139,12,66,21,1,1,1,1,12,2,19,2,1,1,1,86,19,3,10,441,1,12,0,0,0,0,0,1
140,10,72,16,1,1,1,1,10,0,,0,1,0,,,,2,,256,1,10,0,0,0,0,0,0
141,11,45,43,1,1,0,0,7,2,23,2,1,1,6,66,20,4,15,1849,1,7,0,1,0,0,0,1
142,10,65,23,1,1,1,1,7,1,19,1,1,1,,,,3,,529,1,7,1,0,0,0,0,0
143,12,66,22,1,1,1,1,12,0,,0,1,0,,,,4,,484,1,12,0,1,0,0,0,0
144,4,62,26,1,1,1,0,12,1,21,1,1,1,6,82,20,4,12,676,1,12,0,1,0,1,0,1
145,8,69,19,1,1,1,1,10,0,,0,1,1,,,,4,,361,1,10,1,0,0,0,0,0
146,2,64,24,0,1,0,0,12,1,18,1,1,1,11,85,21,3,12,576,1,12,0,1,0,1,0,1
147,5,53,35,1,1,1,1,14,3,24,3,1,1,4,81,27,3,14,1225,1,14,1,0,0,1,0,1
148,11,69,19,1,1,1,1,8,0,,0,1,1,,,,2,,361,1,8,0,1,0,0,0,0
149,3,64,24,1,1,1,1,12,0,,0,1,1,,,,3,,576,1,12,0,1,0,1,0,0
150,7,54,34,1,1,1,1,12,1,30,1,1,1,,,,2,,1156,1,12,0,1,0,0,0,0
151,8,63,25,1,1,1,1,12,1,24,1,1,1,,,,5,,625,1,12,0,0,1,0,0,0
152,7,63,25,1,1,0,0,5,1,18,1,1,1,,,,5,,625,1,5,1,0,0,0,0,0
153,1,68,20,1,1,0,0,7,0,,0,1,0,,,,2,,400,1,7,1,0,0,1,0,0
154,5,52,36,1,1,1,0,12,3,22,3,1,1,5,73,21,3,12,1296,1,12,1,0,0,1,0,1
155,10,60,28,1,1,1,0,16,2,21,1,1,1,6,83,22,3,10,784,1,16,0,1,0,0,0,1
156,3,60,28,1,1,0,0,12,2,23,2,1,1,7,81,21,2,12,784,1,12,0,0,1,1,0,1
157,8,47,41,1,1,1,1,12,3,17,3,1,1,9,64,17,3,12,1681,1,12,0,0,1,0,0,1
158,8,57,31,1,0,1,1,12,1,27,1,1,1,12,78,21,1,12,961,1,12,0,0,1,0,0,1
159,9,40,48,1,1,1,0,12,2,21,2,1,1,9,60,20,2,12,2304,1,12,0,1,0,0,0,1
160,6,59,29,1,1,1,1,12,2,18,2,1,1,12,76,17,2,12,841,1,12,0,0,1,1,0,1
161,5,44,44,1,1,0,0,5,1,28,1,1,0,3,78,33,11,,1936,1,5,0,0,1,1,0,1
162,10,53,35,1,1,1,1,12,3,22,3,1,1,11,72,19,3,12,1225,1,12,0,0,0,0,0,1
163,2,66,22,0,0,0,0,7,2,18,2,1,1,,,,4,,484,1,7,0,0,0,1,0,0
164,2,61,27,0,0,0,0,7,3,19,2,1,1,,,,4,,729,1,7,1,0,0,1,0,0
165,2,73,15,1,1,1,0,9,0,,0,1,0,,,,2,,225,1,9,0,0,0,1,0,0
166,9,48,40,1,1,1,0,16,2,30,2,1,1,4,78,29,2,14,1600,1,16,0,0,0,0,0,1
167,11,45,42,1,1,1,0,16,1,35,1,1,0,9,80,34,2,16,1764,1,16,0,0,0,0,0,1
168,8,39,49,1,1,1,0,15,2,22,2,1,1,3,86,46,4,15,2401,1,15,0,1,0,0,0,1
169,7,65,23,0,0,0,0,7,1,20,1,1,1,,,,4,,529,1,7,1,0,0,0,0,0
170,8,56,32,1,1,1,1,12,2,24,2,1,1,12,79,23,4,12,1024,1,12,0,0,1,0,0,1
171,8,62,26,1,1,1,1,10,1,16,1,1,1,1,85,22,1,10,676,1,10,0,0,1,0,0,1
172,6,63,25,1,1,1,1,7,1,21,1,1,1,7,86,23,4,,625,1,7,0,0,0,1,0,1
173,9,63,25,1,1,1,0,9,2,19,2,1,1,4,85,21,5,10,625,1,9,1,0,0,0,0,1
174,9,68,20,1,1,0,0,10,1,19,1,1,1,4,85,16,2,14,400,1,10,0,1,0,0,0,1
175,10,68,20,1,1,0,0,7,0,,0,1,1,7,86,17,2,7,400,1,7,1,0,0,0,0,1
176,5,54,34,1,1,1,0,12,4,17,4,1,1,6,75,21,4,12,1156,1,12,1,0,0,1,0,1
177,6,43,45,1,1,1,1,5,5,22,5,1,1,10,64,21,3,7,2025,1,5,0,0,0,1,0,1
178,8,65,23,1,1,1,1,9,1,20,1,0,0,11,82,17,10,,529,1,9,0,0,0,0,0,1
179,9,66,22,1,1,1,1,9,2,16,2,1,1,1,82,15,2,9,484,1,9,0,0,0,0,0,1
180,12,71,16,1,1,1,0,7,0,,0,1,0,8,88,16,4,12,256,1,7,1,0,0,0,0,1
181,7,43,45,1,1,1,0,9,3,26,3,0,0,8,70,27,3,10,2025,1,9,1,0,0,0,0,1
182,9,69,19,1,1,1,1,10,0,,0,1,1,,,,3,,361,1,10,1,0,0,0,0,0
183,12,59,28,0,0,0,0,3,2,19,2,1,1,,,,4,,784,1,3,0,0,0,0,0,0
184,3,65,23,0,1,0,0,11,1,21,1,1,1,1,85,19,4,10,529,1,11,0,1,0,1,0,1
185,2,59,29,0,1,0,0,0,1,19,1,1,1,,,,6,,841,1,0,0,0,0,1,1,0
186,6,68,20,0,1,0,1,7,0,,0,1,1,10,86,18,6,7,400,1,7,1,0,0,1,0,1
187,4,61,27,0,0,0,0,10,1,21,1,1,1,,,,3,,729,1,10,0,1,0,1,0,0
188,5,55,33,0,0,0,1,9,4,22,4,1,1,6,76,21,5,10,1089,1,9,1,0,0,1,0,1
189,11,69,19,0,1,0,1,10,0,,0,1,1,,,,4,,361,1,10,0,0,0,0,0,0
190,1,49,39,1,1,1,1,10,2,27,2,1,0,2,75,26,6,12,1521,1,10,0,0,1,1,0,1
191,10,72,16,1,1,1,1,6,0,,0,0,0,,,,2,,256,1,6,0,0,1,0,0,0
192,8,58,30,1,1,1,1,16,2,27,2,1,1,6,82,23,4,10,900,1,16,0,0,1,0,0,1
193,5,66,22,0,0,0,0,7,1,21,0,1,1,,,,4,,484,1,7,0,1,0,1,0,0
194,5,60,28,1,1,1,0,12,0,,0,1,1,11,87,27,2,12,784,1,12,0,1,0,1,0,1
195,6,59,29,0,0,0,0,7,2,19,2,1,1,,,,4,,841,1,7,1,0,0,1,0,0
196,1,64,24,0,0,0,0,0,0,,0,1,1,,,,5,,576,1,0,0,1,0,1,1,0
197,2,51,37,1,1,1,0,10,3,22,3,1,1,8,75,24,4,10,1369,1,10,1,0,0,1,0,1
198,6,57,31,0,0,0,0,0,3,17,3,1,1,,,,6,,961,1,0,0,0,0,1,1,0
199,12,54,33,1,1,1,0,12,4,20,4,1,1,9,75,20,3,12,1089,1,12,0,1,0,0,0,1
200,8,66,22,0,0,0,0,0,1,18,1,1,1,,,,2,,484,1,0,0,1,0,0,1,0
201,12,40,47,0,1,0,0,3,9,22,9,1,1,7,78,37,10,7,2209,1,3,0,1,0,0,0,1
202,12,47,40,0,0,0,0,12,4,23,4,1,1,11,72,24,6,10,1600,1,12,0,1,0,0,0,1
203,5,73,15,0,1,0,0,7,0,,0,1,0,,,,2,,225,1,7,0,0,0,1,0,0
204,12,61,26,0,1,0,0,7,3,18,3,1,0,12,79,18,4,7,676,1,7,0,0,0,0,0,1
205,6,59,29,0,1,0,0,7,1,24,1,1,1,,,,2,,841,1,7,0,0,0,1,0,0
206,6,56,32,0,1,0,1,6,5,16,4,1,1,1,88,31,6,0,1024,1,6,1,0,0,1,0,1
207,1,51,37,0,1,1,0,6,0,,0,1,0,8,72,21,,5,1369,1,6,0,1,0,1,0,1
208,12,66,21,0,1,1,0,10,0,,0,1,1,,,,6,,441,1,10,0,1,0,0,0,0
209,12,60,27,0,1,0,0,10,1,20,1,1,1,,,,2,,729,1,10,1,0,0,0,0,0
210,12,50,37,0,0,0,0,7,0,,0,1,0,7,82,31,4,10,1369,1,7,0,1,0,0,0,1
211,10,62,26,0,0,0,0,7,3,15,2,1,0,4,85,22,5,5,676,1,7,0,1,0,0,0,1
212,6,54,34,0,1,0,0,0,3,18,3,1,0,6,70,16,4,8,1156,1,0,0,0,0,1,1,1
213,11,72,15,0,1,0,0,7,0,,0,1,0,,,,0,,225,1,7,0,1,0,0,0,0
214,6,40,48,0,1,0,0,0,9,17,3,1,1,8,56,16,5,0,2304,1,0,0,0,0,1,1,1
215,8,65,23,0,1,0,0,5,1,17,1,1,1,,,,4,,529,1,5,0,1,0,0,0,0
216,4,65,23,0,1,0,1,9,1,20,1,1,0,,,,4,,529,1,9,1,0,0,1,0,0
217,7,65,23,1,1,1,1,13,0,,0,1,0,9,87,22,3,14,529,1,13,0,0,0,0,0,1
218,7,58,30,1,1,1,1,14,2,16,2,1,0,1,74,15,2,14,900,1,14,0,0,1,0,0,1
219,12,58,29,1,0,0,0,10,2,23,2,1,1,,,,4,,841,1,10,0,0,1,0,0,0
220,8,43,45,1,1,0,0,4,0,,0,0,0,,,,10,,2025,1,4,1,0,0,0,0,0
221,12,58,29,1,1,1,0,14,3,20,3,1,1,7,77,18,3,13,841,1,14,1,0,0,0,0,1
222,1,58,30,1,1,1,0,9,2,19,2,1,1,,,,4,,900,1,9,1,0,0,1,0,0
223,3,61,27,1,1,1,1,12,2,17,2,1,1,2,78,16,2,12,729,1,12,0,1,0,1,0,1
224,11,60,28,1,1,0,0,12,4,21,4,1,1,,,,4,,784,1,12,0,0,1,0,0,0
225,1,59,29,1,1,0,0,0,3,18,3,1,0,,,,6,,841,1,0,0,1,0,1,1,0
226,5,61,27,1,1,0,0,0,2,21,2,1,1,,,,4,,729,1,0,0,0,1,1,1,0
227,6,62,26,1,1,0,0,10,3,19,3,1,1,4,79,16,4,10,676,1,10,0,0,1,1,0,1
228,7,58,30,1,1,0,0,4,6,17,6,1,1,3,77,18,,10,900,1,4,0,0,1,0,0,1
229,9,62,26,1,1,0,0,10,1,20,1,1,1,4,82,19,4,10,676,1,10,1,0,0,0,0,1
230,7,55,33,1,1,1,0,9,3,21,2,1,1,11,75,20,6,2,1089,1,9,1,0,0,0,0,1
231,11,55,33,1,1,0,0,10,3,23,3,1,1,,,,2,,1089,1,10,1,0,0,0,0,0
232,4,72,16,1,1,0,0,9,0,,0,1,1,,,,2,,256,1,9,1,0,0,1,0,0
233,11,70,18,1,1,0,0,7,0,,0,1,1,,,,4,,324,1,7,1,0,0,0,0,0
234,4,49,39,1,1,1,0,10,1,30,1,1,0,4,75,26,4,10,1521,1,10,1,0,0,1,0,1
235,6,71,17,1,1,1,0,7,1,16,1,1,0,,,,4,,289,1,7,1,0,0,1,0,0
236,1,66,22,1,1,0,0,0,1,20,1,1,1,,,,5,,484,1,0,0,0,0,1,1,0
237,4,66,22,1,1,0,0,7,0,,0,0,0,,,,5,,484,1,7,0,0,0,1,0,0
238,12,52,35,1,1,0,0,9,4,21,3,1,1,6,75,22,4,7,1225,1,9,0,1,0,0,0,1
239,7,69,19,1,1,0,0,4,1,16,1,1,1,,,,4,,361,1,4,1,0,0,0,0,0
240,4,60,28,0,1,0,0,9,4,17,4,1,1,3,83,22,6,7,784,1,9,1,0,0,1,0,1
241,4,66,22,0,1,0,0,8,2,17,2,1,1,4,83,17,6,10,484,1,8,0,0,1,1,0,1
242,10,62,26,0,1,0,0,0,3,18,3,1,1,3,82,19,5,,676,1,0,1,0,0,0,1,1
243,6,50,38,0,0,0,0,6,4,15,4,1,0,1,63,12,5,2,1444,1,6,1,0,0,1,0,1
244,8,52,36,0,1,0,0,4,6,21,6,1,1,,,,3,,1296,1,4,0,1,0,0,0,0
245,6,59,29,0,1,0,0,5,4,16,3,1,1,,,,6,,841,1,5,0,1,0,1,0,0
246,11,60,28,1,1,0,0,10,1,22,1,1,1,,,,4,,784,1,10,0,0,1,0,0,0
247,12,65,23,1,1,0,1,3,0,,0,1,0,,,,4,,529,1,3,1,0,0,0,0,0
248,9,64,24,0,1,0,0,10,1,18,1,1,1,,,,4,,576,1,10,0,0,0,0,0,0
249,2,70,18,0,1,0,0,0,0,,0,1,0,,,,2,,324,1,0,0,0,0,1,1,0
250,4,66,22,0,1,0,0,10,1,21,1,1,1,,,,4,,484,1,10,0,0,0,1,0,0
251,7,48,40,0,1,0,0,10,1,26,1,1,0,6,81,32,4,7,1600,1,10,0,0,1,0,0,1
252,10,72,16,0,1,1,1,9,0,,0,1,0,,,,5,,256,1,9,0,0,0,0,0,0
253,3,58,30,0,1,0,1,10,2,25,1,1,1,1,83,24,4,7,900,1,10,0,0,1,1,0,1
254,10,63,25,0,1,0,0,10,1,19,1,1,0,6,85,21,5,0,625,1,10,0,0,0,0,0,1
