,mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urbeduc,spirit,protest,catholic,frsthalf,educ0,evermarr
4120,8.0,57.0,31.0,0.0,1.0,0.0,0.0,7.0,3.0,17.0,3.0,1.0,1.0,12.0,73.0,16.0,6.0,7.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4339,7.0,72.0,16.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,1.0,0.0,256.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
80,7.0,58.0,30.0,1.0,1.0,1.0,1.0,16.0,2.0,17.0,2.0,1.0,1.0,2.0,83.0,24.0,2.0,15.0,900.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0
1744,5.0,62.0,26.0,0.0,1.0,0.0,1.0,10.0,1.0,20.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,676.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0
426,7.0,62.0,26.0,0.0,1.0,0.0,0.0,7.0,1.0,17.0,1.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,676.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2765,4.0,68.0,20.0,0.0,0.0,0.0,0.0,9.0,2.0,18.0,2.0,1.0,1.0,1.0,87.0,19.0,2.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
93,11.0,64.0,24.0,0.0,0.0,0.0,0.0,7.0,1.0,21.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,576.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
351,6.0,56.0,32.0,0.0,0.0,0.0,0.0,7.0,3.0,19.0,3.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,1024.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0
2088,7.0,60.0,28.0,0.0,1.0,0.0,0.0,0.0,4.0,15.0,4.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,784.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2148,8.0,65.0,23.0,0.0,1.0,0.0,0.0,9.0,1.0,21.0,1.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,529.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1395,6.0,56.0,32.0,1.0,1.0,0.0,1.0,10.0,3.0,20.0,3.0,1.0,1.0,1.0,73.0,16.0,4.0,10.0,1024.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0
4032,9.0,72.0,16.0,0.0,1.0,0.0,1.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,3.0,0.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1937,8.0,72.0,16.0,1.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0,1.0,87.0,19.0,2.0,0.0,256.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
4278,8.0,64.0,24.0,0.0,1.0,0.0,0.0,12.0,1.0,19.0,1.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,576.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
794,8.0,64.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,3.0,0.0,576.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3626,7.0,57.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,2.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1038,6.0,63.0,25.0,0.0,1.0,0.0,0.0,12.0,2.0,21.0,2.0,1.0,1.0,6.0,88.0,25.0,0.0,10.0,625.0,1.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0
298,7.0,71.0,17.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,2.0,0.0,289.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
3438,8.0,56.0,32.0,0.0,1.0,0.0,1.0,7.0,5.0,18.0,4.0,1.0,1.0,1.0,72.0,15.0,8.0,7.0,1024.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2696,6.0,59.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,1.0,0.0,9.0,85.0,26.0,4.0,0.0,841.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
3460,3.0,70.0,18.0,0.0,1.0,0.0,0.0,10.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1034,2.0,60.0,28.0,0.0,0.0,0.0,0.0,9.0,2.0,23.0,0.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,784.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0
2736,12.0,42.0,45.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,8.0,1.0,0.0,10.0,64.0,21.0,5.0,0.0,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2596,7.0,70.0,18.0,0.0,1.0,0.0,0.0,9.0,1.0,17.0,1.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,324.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1476,4.0,72.0,16.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,3.0,0.0,256.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0
1694,11.0,71.0,16.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,7.0,0.0,256.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
800,9.0,64.0,24.0,0.0,1.0,0.0,0.0,7.0,1.0,21.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,576.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1426,6.0,61.0,27.0,1.0,1.0,0.0,1.0,2.0,2.0,24.0,2.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,729.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
1162,11.0,57.0,30.0,0.0,1.0,0.0,1.0,8.0,4.0,21.0,4.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,900.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
2714,4.0,67.0,21.0,0.0,0.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,5.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1779,2.0,70.0,18.0,0.0,1.0,0.0,0.0,10.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,2.0,0.0,324.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
3617,2.0,49.0,39.0,0.0,0.0,0.0,0.0,3.0,5.0,23.0,4.0,1.0,1.0,2.0,80.0,31.0,6.0,0.0,1521.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
3135,2.0,61.0,27.0,0.0,1.0,0.0,0.0,9.0,4.0,19.0,4.0,1.0,0.0,1.0,87.0,19.0,8.0,0.0,729.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0
3531,3.0,56.0,32.0,0.0,1.0,0.0,0.0,6.0,3.0,18.0,3.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,1024.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2318,4.0,64.0,24.0,0.0,0.0,0.0,0.0,6.0,3.0,17.0,3.0,1.0,1.0,3.0,78.0,13.0,4.0,0.0,576.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
798,2.0,62.0,26.0,0.0,1.0,0.0,0.0,7.0,2.0,20.0,2.0,1.0,1.0,7.0,81.0,19.0,4.0,3.0,676.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0
1221,6.0,58.0,30.0,0.0,1.0,0.0,1.0,12.0,3.0,19.0,3.0,1.0,1.0,9.0,83.0,25.0,3.0,7.0,900.0,1.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0
3935,7.0,72.0,16.0,0.0,0.0,0.0,0.0,7.0,1.0,15.0,1.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3848,8.0,51.0,37.0,0.0,1.0,0.0,1.0,7.0,8.0,17.0,8.0,1.0,1.0,7.0,68.0,16.0,6.0,6.0,1369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1104,11.0,60.0,27.0,0.0,1.0,0.0,0.0,6.0,1.0,18.0,1.0,1.0,0.0,1.0,87.0,19.0,8.0,0.0,729.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
3877,6.0,59.0,29.0,1.0,1.0,0.0,0.0,12.0,2.0,22.0,2.0,1.0,1.0,12.0,79.0,20.0,4.0,9.0,841.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
3941,7.0,71.0,17.0,0.0,1.0,1.0,0.0,11.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,289.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2579,12.0,53.0,34.0,1.0,1.0,0.0,1.0,9.0,3.0,16.0,3.0,1.0,1.0,8.0,74.0,20.0,3.0,10.0,1156.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3519,4.0,65.0,23.0,0.0,1.0,0.0,1.0,6.0,3.0,17.0,3.0,1.0,0.0,6.0,83.0,18.0,5.0,0.0,529.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1593,9.0,55.0,33.0,0.0,1.0,0.0,0.0,7.0,3.0,20.0,3.0,1.0,1.0,12.0,74.0,19.0,4.0,10.0,1089.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
1532,1.0,48.0,40.0,0.0,1.0,0.0,1.0,5.0,9.0,18.0,7.0,1.0,1.0,3.0,71.0,23.0,8.0,0.0,1600.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0
1003,1.0,42.0,46.0,0.0,1.0,0.0,0.0,0.0,8.0,17.0,7.0,1.0,0.0,10.0,54.0,12.0,8.0,4.0,2116.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3515,5.0,60.0,28.0,0.0,1.0,0.0,1.0,7.0,3.0,17.0,3.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,784.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1293,4.0,70.0,18.0,0.0,0.0,0.0,0.0,8.0,1.0,17.0,1.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,324.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0
2369,3.0,67.0,21.0,0.0,1.0,0.0,1.0,10.0,1.0,19.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,441.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1557,11.0,63.0,24.0,0.0,0.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,576.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
332,12.0,63.0,25.0,1.0,0.0,0.0,0.0,7.0,1.0,16.0,1.0,1.0,1.0,1.0,87.0,19.0,5.0,0.0,625.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1876,7.0,69.0,19.0,0.0,1.0,0.0,0.0,10.0,0.0,18.0,0.0,1.0,0.0,3.0,88.0,18.0,4.0,7.0,361.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
3207,6.0,68.0,20.0,0.0,1.0,0.0,1.0,7.0,1.0,17.0,1.0,1.0,1.0,1.0,87.0,19.0,5.0,0.0,400.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
643,5.0,66.0,22.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,3.0,1.0,0.0,6.0,80.0,14.0,4.0,0.0,484.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2988,10.0,63.0,24.0,0.0,1.0,0.0,0.0,10.0,1.0,22.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,576.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3958,8.0,69.0,19.0,0.0,1.0,0.0,0.0,10.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,2.0,0.0,361.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2964,1.0,40.0,48.0,0.0,1.0,0.0,0.0,4.0,10.0,20.0,3.0,1.0,0.0,11.0,70.0,30.0,10.0,0.0,2304.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1158,7.0,68.0,20.0,0.0,1.0,0.0,0.0,7.0,1.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,400.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
3587,11.0,46.0,42.0,0.0,1.0,0.0,1.0,3.0,5.0,22.0,5.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,1764.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3350,7.0,70.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,324.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2971,6.0,61.0,27.0,0.0,1.0,0.0,0.0,7.0,4.0,19.0,3.0,1.0,0.0,1.0,87.0,19.0,5.0,0.0,729.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4173,4.0,41.0,47.0,0.0,1.0,0.0,1.0,0.0,9.0,15.0,8.0,1.0,1.0,2.0,56.0,14.0,3.0,0.0,2209.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
2281,12.0,69.0,18.0,0.0,1.0,0.0,1.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1237,12.0,71.0,16.0,0.0,1.0,0.0,0.0,8.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,10.0,0.0,256.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
1113,2.0,45.0,43.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,2.0,0.0,0.0,11.0,68.0,23.0,4.0,7.0,1849.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3057,9.0,54.0,34.0,0.0,0.0,1.0,0.0,10.0,2.0,22.0,2.0,1.0,1.0,12.0,73.0,19.0,2.0,11.0,1156.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0
3947,1.0,47.0,41.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,4.0,1.0,0.0,9.0,60.0,13.0,6.0,0.0,1681.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2195,3.0,68.0,20.0,0.0,1.0,0.0,1.0,7.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,5.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2178,4.0,65.0,23.0,0.0,1.0,0.0,1.0,7.0,2.0,18.0,2.0,1.0,1.0,1.0,87.0,19.0,3.0,0.0,529.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14,1.0,53.0,35.0,1.0,1.0,1.0,1.0,12.0,3.0,23.0,3.0,1.0,1.0,1.0,74.0,21.0,3.0,16.0,1225.0,1.0,12.0,0.0,1.0,0.0,1.0,0.0,1.0
4183,1.0,60.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,2.0,1.0,0.0,1.0,87.0,19.0,10.0,0.0,784.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1289,10.0,69.0,18.0,0.0,1.0,0.0,0.0,7.0,1.0,15.0,1.0,1.0,1.0,1.0,87.0,19.0,3.0,0.0,324.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2181,5.0,64.0,24.0,0.0,0.0,0.0,0.0,6.0,2.0,17.0,2.0,1.0,1.0,6.0,76.0,12.0,10.0,0.0,576.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
360,11.0,67.0,21.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,441.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
4023,9.0,65.0,23.0,0.0,1.0,0.0,0.0,10.0,2.0,19.0,2.0,1.0,0.0,1.0,87.0,21.0,4.0,2.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1871,8.0,67.0,21.0,0.0,1.0,0.0,0.0,5.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,441.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
584,6.0,40.0,48.0,0.0,0.0,0.0,0.0,4.0,3.0,27.0,3.0,1.0,0.0,1.0,61.0,20.0,3.0,0.0,2304.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0
2269,3.0,68.0,20.0,0.0,1.0,0.0,0.0,5.0,2.0,16.0,2.0,1.0,1.0,1.0,87.0,19.0,5.0,0.0,400.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2236,11.0,60.0,27.0,0.0,1.0,0.0,0.0,10.0,3.0,18.0,2.0,1.0,1.0,1.0,82.0,21.0,4.0,10.0,729.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4272,5.0,73.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,1.0,0.0,225.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
1590,12.0,72.0,15.0,0.0,1.0,0.0,0.0,8.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,225.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
2348,8.0,63.0,25.0,0.0,0.0,0.0,0.0,7.0,3.0,17.0,3.0,1.0,1.0,9.0,81.0,18.0,4.0,3.0,625.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
490,3.0,61.0,27.0,0.0,0.0,0.0,0.0,7.0,2.0,20.0,2.0,1.0,1.0,1.0,83.0,21.0,5.0,6.0,729.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0
3689,3.0,63.0,25.0,0.0,0.0,0.0,0.0,3.0,1.0,22.0,1.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,625.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2823,10.0,70.0,18.0,0.0,0.0,0.0,0.0,8.0,0.0,18.0,0.0,1.0,0.0,8.0,87.0,16.0,4.0,0.0,324.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1068,6.0,70.0,18.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,3.0,87.0,16.0,5.0,7.0,324.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0
589,3.0,47.0,41.0,0.0,1.0,0.0,1.0,0.0,5.0,20.0,3.0,1.0,0.0,2.0,65.0,17.0,5.0,0.0,1681.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2345,8.0,58.0,30.0,0.0,0.0,0.0,1.0,0.0,4.0,16.0,4.0,1.0,1.0,10.0,78.0,20.0,4.0,0.0,900.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
3573,5.0,57.0,31.0,0.0,1.0,0.0,1.0,0.0,5.0,17.0,4.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,961.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2857,3.0,68.0,20.0,0.0,1.0,0.0,0.0,10.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,400.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2431,5.0,70.0,18.0,0.0,1.0,0.0,1.0,10.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,5.0,0.0,324.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0
506,2.0,62.0,26.0,0.0,1.0,0.0,0.0,7.0,2.0,23.0,2.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,676.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0
393,7.0,54.0,34.0,1.0,1.0,1.0,0.0,7.0,4.0,21.0,3.0,1.0,1.0,5.0,75.0,20.0,4.0,1.0,1156.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0
2429,6.0,70.0,18.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,2.0,0.0,324.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0
